ISIN,Price,Date,Model,Stock
AT0000999982,3614.07,2024-10-08,arima,ATX
AT0000999982,3615.77,2024-10-09,arima,ATX
AT0000999982,3617.57,2024-10-10,arima,ATX
AT0000999982,3619.3,2024-10-11,arima,ATX
AT0000999982,3620.9,2024-10-14,arima,ATX
AT0000999982,3622.72,2024-10-15,arima,ATX
AT0000999982,3624.56,2024-10-16,arima,ATX
AT0000999982,3626.49,2024-10-17,arima,ATX
AT0000999982,3628.53,2024-10-18,arima,ATX
AT0000999982,3630.54,2024-10-21,arima,ATX
AT0000999982,3614.07,2024-10-08,exp_smoothing,ATX
AT0000999982,3615.77,2024-10-09,exp_smoothing,ATX
AT0000999982,3617.53,2024-10-10,exp_smoothing,ATX
AT0000999982,3619.03,2024-10-11,exp_smoothing,ATX
AT0000999982,3620.63,2024-10-14,exp_smoothing,ATX
AT0000999982,3622.34,2024-10-15,exp_smoothing,ATX
AT0000999982,3624.17,2024-10-16,exp_smoothing,ATX
AT0000999982,3626.23,2024-10-17,exp_smoothing,ATX
AT0000999982,3628.28,2024-10-18,exp_smoothing,ATX
AT0000999982,3630.18,2024-10-21,exp_smoothing,ATX
AT0000999982,3614.16,2024-10-08,lgbm_regressor,ATX
AT0000999982,3614.17,2024-10-09,lgbm_regressor,ATX
AT0000999982,3614.22,2024-10-10,lgbm_regressor,ATX
AT0000999982,3614.29,2024-10-11,lgbm_regressor,ATX
AT0000999982,3614.52,2024-10-14,lgbm_regressor,ATX
AT0000999982,3614.74,2024-10-15,lgbm_regressor,ATX
AT0000999982,3615.28,2024-10-16,lgbm_regressor,ATX
AT0000999982,3615.76,2024-10-17,lgbm_regressor,ATX
AT0000999982,3616.19,2024-10-18,lgbm_regressor,ATX
AT0000999982,3616.66,2024-10-21,lgbm_regressor,ATX
AT0000999982,3622.82,2024-10-08,nn_regressor,ATX
AT0000999982,3641.72,2024-10-09,nn_regressor,ATX
AT0000999982,3671.65,2024-10-10,nn_regressor,ATX
AT0000999982,3663.75,2024-10-11,nn_regressor,ATX
AT0000999982,3678.16,2024-10-14,nn_regressor,ATX
AT0000999982,3710.16,2024-10-15,nn_regressor,ATX
AT0000999982,3702.5,2024-10-16,nn_regressor,ATX
AT0000999982,3723.0,2024-10-17,nn_regressor,ATX
AT0000999982,3752.11,2024-10-18,nn_regressor,ATX
AT0000999982,3782.04,2024-10-21,nn_regressor,ATX
AT0000999982,3614.28,2024-10-08,prophet,ATX
AT0000999982,3616.18,2024-10-09,prophet,ATX
AT0000999982,3618.17,2024-10-10,prophet,ATX
AT0000999982,3620.12,2024-10-11,prophet,ATX
AT0000999982,3622.13,2024-10-14,prophet,ATX
AT0000999982,3624.33,2024-10-15,prophet,ATX
AT0000999982,3626.65,2024-10-16,prophet,ATX
AT0000999982,3629.19,2024-10-17,prophet,ATX
AT0000999982,3631.79,2024-10-18,prophet,ATX
AT0000999982,3634.38,2024-10-21,prophet,ATX
AT0000999982,3596.91,2024-10-08,rnn_regressor,ATX
AT0000999982,3614.51,2024-10-09,rnn_regressor,ATX
AT0000999982,3612.94,2024-10-10,rnn_regressor,ATX
AT0000999982,3607.73,2024-10-11,rnn_regressor,ATX
AT0000999982,3580.97,2024-10-14,rnn_regressor,ATX
AT0000999982,3601.52,2024-10-15,rnn_regressor,ATX
AT0000999982,3617.88,2024-10-16,rnn_regressor,ATX
AT0000999982,3632.65,2024-10-17,rnn_regressor,ATX
AT0000999982,3616.02,2024-10-18,rnn_regressor,ATX
AT0000999982,3607.06,2024-10-21,rnn_regressor,ATX
AT0000999982,3612.4,2024-10-08,xgb_regressor,ATX
AT0000999982,3612.43,2024-10-09,xgb_regressor,ATX
AT0000999982,3612.43,2024-10-10,xgb_regressor,ATX
AT0000999982,3612.5,2024-10-11,xgb_regressor,ATX
AT0000999982,3612.75,2024-10-14,xgb_regressor,ATX
AT0000999982,3613.06,2024-10-15,xgb_regressor,ATX
AT0000999982,3613.52,2024-10-16,xgb_regressor,ATX
AT0000999982,3614.01,2024-10-17,xgb_regressor,ATX
AT0000999982,3614.44,2024-10-18,xgb_regressor,ATX
AT0000999982,3614.91,2024-10-21,xgb_regressor,ATX
AT0000743059,39.68,2024-10-08,arima,omv-ag
